Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
1,308305425,5,"2030,00",Análisis de datos 
1,308305425,4,"2031,00", Análisis Multivariado
1,308305425,3,"2049,00",Evaluación de proyectos
1,308305425,2,"2046,00",Auditoría Actuarial
1,308305425,1,"2047,00",Contabilidad de Seguros
2,308188392,5,"2035,00",FINANZAS PUBLICAS
2,308188392,4,"2056,00",SEGURO DE PERSONAS
2,308188392,3,"2036,00",FIANZAS
2,308188392,2,"2040,00",MATEMÁTICAS ACTUARIALES APLICADAS
2,308188392,1,"2046,00",AUDITORIA ACTUARIAL
3,307309293,5,"2034,00",Economía Matemática II
3,307309294,4,"2039,00",Modelos y Simulación
3,307309295,3,"2051,00",Finanzas Internacionales
3,307309296,2,"2049,00",Evaluación de Proyectos
3,307309297,1,"2044,00",Análisis de Estados Financieros
4,,5,"2035,00",1.-Finanzas Públicas
4,,4,"2043,00",2.- Planeación Financiera
4,,3,"2033,00",3.-Derivados
4,,2,"2049,00",4.-Evaluación de Proyectos
4,,1,"2054,00",5.-Presupuesto de Capital
5,30813547-5,5,"2039,00",Modelos y Simulación
5,30813547-5,4,"2044,00",Analisis de Estados Financieros
5,30813547-5,3,"2033,00",Derivados
5,30813547-5,2,"2043,00",Planeación Financiera
5,30813547-5,1,"2046,00",Auditoria Actuarial
6,308335912´,5,2033, DERIVADOS
6,308335912´,4,2048, ESTADISTICA BAYESIANA
6,308335912´,3,2043,PLANEACION FINANCIERA
6,308335912´,2,2046,AUDITORIA ACTUARIAL
6,308335912´,1,2049,EVALUACION DE PROYECTOS
7,308168145,5,"2033,00",Derivados
7,308168145,4,"2043,00", Planeación Financiera  
7,308168145,3,"2055,00",Series de Tiempo
7,308168145,2,"2046,00",Auditoría Actuarial
7,308168145,1,"2049,00",Evaluación de Proyectos 
8,30811946-0,5,"2049,00", Evaluación de proyectos
8,30811946-0,4,"2033,00",Derivados
8,30811946-0,3,"2041,00",Muestreo
8,30811946-0,2,"2044,00",Anįlisis de estados financieros
8,30811946-0,1,"2046,00",Auditoria Actuarial
9,308184741,5,"2043,00",PLANEACION FINANCIERA
9,308184741,4,"2044,00",ANALISIS DE ESTADOS FINANCIEROS
9,308184741,3,"2049,00",EVALUACION DE PROYECTOS
9,308184741,2,"2054,00",PRESUPUESTO DE CAPITAL
9,308184741,1,"2051,00",FINANZAS INTERNACIONALES
10,411090140,5,"2033,00",Derivados
10,411090140,4,"2051,00",Finanzas Internacionales 
10,411090140,3,"2046,00",Auditoria Actuarial
10,411090140,2,2035,Finanzas Publicas 
